796.0015325715,3.4227474877
678.5256027788,3.1631531965
573.1036058515,2.9080616797
500.0592093328,2.7172152673
432.3565628692,2.5292424716
702.6121454900,3.2235830386
542.7067062338,2.8361448743
428.7684540264,2.5208059503
345.8669517158,2.2647136751
282.6405235024,2.0480386558
509.0017914303,2.7498602172
334.7776033901,2.2314847882
228.5605428523,1.8436933697
156.0612645070,1.5247813239
112.3621442068,1.2937611886
82.4060132564,1.1081564488
248.0486204654,1.9237958161
696.1178167082,3.2094190051
509.9945387222,2.7484635724
377.1610941968,2.3660474148
287.3568129099,2.0647379025
223.6206601387,1.8220858950
305.9786899892,2.1327846194
195.4473822319,1.7057477025
132.1181060365,1.4035866102
89.2848365771,1.1540332486
60.7158217370,0.9519996351
88.6610730188,1.1500339953
39.9292197731,0.7728037610
45.3851322993,0.8245304838
368.3522789401,2.3388104620
381.6507043754,2.3830466808
172.1336959402,1.6018453450
146.0189314150,1.4768129858
50.7969494802,0.8723897879
144.4428955092,1.4674245226
127.9133103707,1.3810604664
45.3691789875,0.8236163526
35.4177520970,0.7283224651
48.7906058824,0.8538121882
52.1625785047,0.8828894333
